Released;Movie;Weekend;US Gross;Worldwide Gross;Budget;Type
04/05/2000;Black and White;2212535;5241315;NULL;10000000;Original
12/25/2006;Black Christmas;3723364;16235738;NULL;9000000;Remake
12/28/2001;Black Hawk Down;179823;108638745;159691085;95000000;Adapted
11/21/2001;Black Knight;11102948;33422806;NULL;35000000;Original
09/22/1989;Black Rain;9677102;45892212;NULL;30000000;Original
03/02/2007;Black Snake Moan;4143199;9396870;NULL;15000000;Original
12/03/2010;Black Swan;1443809;106954678;329454678;13000000;Original
12/31/2008;Black Water Transit;NULL;NULL;NULL;35000000;Adapted
08/21/1998;Blade;17073856;70141876;131237688;45000000;Comics
03/22/2002;Blade II;32528016;81676888;154338601;54000000;Comics
06/25/1982;Blade Runner;6150002;32656328;33139618;28000000;Adapted
12/08/2004;Blade: Trinity;16061271;52397389;132397389;65000000;Comics
03/30/2007;Blades of Glory;33014202;118594548;145594548;61000000;Original
02/12/1999;Blast from the Past;9160263;26613620;NULL;35000000;Original
01/01/1974;Blazing Saddles;NULL;119500000;NULL;2600000;Original
08/11/2000;Bless the Child;9413684;29374178;40435694;40000000;Adapted
10/03/2008;Blindness;1950260;3073392;14542658;25000000;Adapted
03/03/2006;Block Party;6214723;11718595;12051924;3000000;Real Events
02/21/1997;Blood and Wine;420993;1083350;NULL;26000000;Original
12/08/2006;Blood Diamond;8648324;57377916;171377916;100000000;Original
02/19/2010;Blood Done Sign My Name;82739;109383;NULL;10000000;Real Events
01/18/1985;Blood Simple;41971;1690913;NULL;1500000;Original
08/09/2002;Blood Work;7312413;26199517;NULL;50000000;Adapted
01/06/2006;BloodRayne;1550000;2405420;3605420;25000000;Video Game
02/26/1988;Bloodsport;NULL;11806119;NULL;1500000;Original
04/06/2001;Blow;12443461;52990775;83282296;30000000;Adapted
07/24/1981;Blow Out;3000000;13747234;NULL;18000000;Original
08/16/2002;Blue Crush;14169455;40118420;51618420;30000000;Adapted
09/17/1999;Blue Streak;19208806;68208190;117448157;36000000;Original
12/29/2010;Blue Valentine;193728;9737892;NULL;1000000;Original
03/21/2003;Boat Trip;3815075;8586376;14933713;15000000;Original
11/17/2006;Bobby;69039;11242801;20597806;14000000;Real Events
04/30/2004;Bobby Jones: Stroke of Genius;1233297;2694071;NULL;17000000;Original
10/26/1984;Body Double;2837978;8801940;NULL;10000000;Original
10/10/2008;Body of Lies;12884416;39394666;108394666;67500000;Adapted
09/06/1996;Bogus;1895593;4357406;NULL;32000000;Original
02/18/2000;Boiler Room;6722884;16963963;28773637;9000000;Original
11/21/2008;Bolt;26223128;114053759;313953759;150000000;Original
08/04/2006;Bon Cop, Bad Cop;1201101;12671300;NULL;8000000;Original
03/19/2004;Bon Voyage;27480;2353728;8361736;20000000;Original
10/24/2001;Bones;2823548;7316658;8378853;10000000;Original
